Time [s], Analyzer Name, Decoded Protocol Result
0.000017093750000,I2S / PCM,Ch 2: 0x0001F0
0.000027500000000,I2S / PCM,Ch 1: 0x00092D
0.000037937500000,I2S / PCM,Ch 2: 0x0007C4
0.000048343750000,I2S / PCM,Ch 1: 0x0001AB
0.000058781250000,I2S / PCM,Ch 2: 0x0004E8
0.000069187500000,I2S / PCM,Ch 1: 0xFFFEA6
0.000079625000000,I2S / PCM,Ch 2: 0xFFFF90
0.000090031250000,I2S / PCM,Ch 1: 0x0006CB
0.000100468750000,I2S / PCM,Ch 2: 0x00096B
0.000110875000000,I2S / PCM,Ch 1: 0x000881
0.000121312500000,I2S / PCM,Ch 2: 0x0008D6
0.000131718750000,I2S / PCM,Ch 1: 0x00079D
0.000142156250000,I2S / PCM,Ch 2: 0x00061A
0.000152593750000,I2S / PCM,Ch 1: 0x000325
0.000163000000000,I2S / PCM,Ch 2: 0x00033C
0.000173437500000,I2S / PCM,Ch 1: 0x000561
0.000183843750000,I2S / PCM,Ch 2: 0x00064C
0.000194281250000,I2S / PCM,Ch 1: 0x0004F9
0.000204687500000,I2S / PCM,Ch 2: 0x000409
0.000215125000000,I2S / PCM,Ch 1: 0x0002F3
0.000225531250000,I2S / PCM,Ch 2: 0x0004E8
0.000235968750000,I2S / PCM,Ch 1: 0xFFFEA6
0.000246375000000,I2S / PCM,Ch 2: 0xFFFF90
0.000256812500000,I2S / PCM,Ch 1: 0x0006CB
0.000267218750000,I2S / PCM,Ch 2: 0x00096B
0.000277656250000,I2S / PCM,Ch 1: 0xFFFBCC
0.000288062500000,I2S / PCM,Ch 2: 0xFFFBCE
0.000298500000000,I2S / PCM,Ch 1: 0x000701
0.000308937500000,I2S / PCM,Ch 2: 0x00056D
0.000319343750000,I2S / PCM,Ch 1: 0x0004C9
0.000329781250000,I2S / PCM,Ch 2: 0x00056E
0.000340187500000,I2S / PCM,Ch 1: 0x0002D4
0.000350625000000,I2S / PCM,Ch 2: 0x0000B0
0.000361031250000,I2S / PCM,Ch 1: 0x000439
0.000371468750000,I2S / PCM,Ch 2: 0x00032A
0.000381875000000,I2S / PCM,Ch 1: 0x00008C
0.000392312500000,I2S / PCM,Ch 2: 0x000061
0.000402718750000,I2S / PCM,Ch 1: 0x000B35
0.000413156250000,I2S / PCM,Ch 2: 0x000B5F
0.000423562500000,I2S / PCM,Ch 1: 0x000350
0.000434000000000,I2S / PCM,Ch 2: 0x0002B8
0.000444406250000,I2S / PCM,Ch 1: 0xFFFBCC
0.000454843750000,I2S / PCM,Ch 2: 0xFFFBCE
0.000465281250000,I2S / PCM,Ch 1: 0x000701
0.000475687500000,I2S / PCM,Ch 2: 0x00013A
0.000486125000000,I2S / PCM,Ch 1: 0x000436
0.000496531250000,I2S / PCM,Ch 2: 0x0004AB
0.000506968750000,I2S / PCM,Ch 1: 0x0004D1
0.000517375000000,I2S / PCM,Ch 2: 0x0007E0
0.000527812500000,I2S / PCM,Ch 1: 0x00033E
0.000538218750000,I2S / PCM,Ch 2: 0x00054A
0.000548656250000,I2S / PCM,Ch 1: 0x00002E
0.000559062500000,I2S / PCM,Ch 2: 0x000061
0.000569500000000,I2S / PCM,Ch 1: 0x000B35
0.000579906250000,I2S / PCM,Ch 2: 0x000B5F
0.000590343750000,I2S / PCM,Ch 1: 0x000350
0.000600750000000,I2S / PCM,Ch 2: 0x0002B8
0.000611187500000,I2S / PCM,Ch 1: 0xFFFE27
0.000621625000000,I2S / PCM,Ch 2: 0xFFFE91
0.000632031250000,I2S / PCM,Ch 1: 0x000265
0.000642468750000,I2S / PCM,Ch 2: 0x00034D
0.000652875000000,I2S / PCM,Ch 1: 0x000027
0.000663312500000,I2S / PCM,Ch 2: 0xFFFF2B
0.000673718750000,I2S / PCM,Ch 1: 0x000ADD
0.000684156250000,I2S / PCM,Ch 2: 0x000C4C
0.000694562500000,I2S / PCM,Ch 1: 0x000221
0.000705000000000,I2S / PCM,Ch 2: 0x000363
0.000715406250000,I2S / PCM,Ch 1: 0x0001AA
0.000725843750000,I2S / PCM,Ch 2: 0x0003FE
0.000736250000000,I2S / PCM,Ch 1: 0x0003DB
0.000746687500000,I2S / PCM,Ch 2: 0x0007B4
0.000757093750000,I2S / PCM,Ch 1: 0x0003C2
0.000767531250000,I2S / PCM,Ch 2: 0x0004A1
0.000777968750000,I2S / PCM,Ch 1: 0xFFFE27
0.000788375000000,I2S / PCM,Ch 2: 0xFFFE91
0.000798812500000,I2S / PCM,Ch 1: 0x000265
0.000809218750000,I2S / PCM,Ch 2: 0xFFFC69
0.000819656250000,I2S / PCM,Ch 1: 0x0003A2
0.000830062500000,I2S / PCM,Ch 2: 0x00021A
0.000840500000000,I2S / PCM,Ch 1: 0xFFFFF0
0.000850906250000,I2S / PCM,Ch 2: 0xFFFF8C
0.000861343750000,I2S / PCM,Ch 1: 0x0002BB
0.000871750000000,I2S / PCM,Ch 2: 0x000279
0.000882187500000,I2S / PCM,Ch 1: 0x0001C3
0.000892593750000,I2S / PCM,Ch 2: 0x0003FE
0.000903031250000,I2S / PCM,Ch 1: 0x0003DB
0.000913468750000,I2S / PCM,Ch 2: 0x0007B4
0.000923875000000,I2S / PCM,Ch 1: 0x0003C2
0.000934312500000,I2S / PCM,Ch 2: 0x0004A1
0.000944718750000,I2S / PCM,Ch 1: 0x00048C
0.000955156250000,I2S / PCM,Ch 2: 0x00050A
0.000965562500000,I2S / PCM,Ch 1: 0xFFFE15
0.000976000000000,I2S / PCM,Ch 2: 0xFFFF58
0.000986406250000,I2S / PCM,Ch 1: 0x00000B
0.000996843750000,I2S / PCM,Ch 2: 0x0000A2
0.001007250000000,I2S / PCM,Ch 1: 0x00007B
0.001017687500000,I2S / PCM,Ch 2: 0x0000C5
0.001028093750000,I2S / PCM,Ch 1: 0x0005E3
0.001038531250000,I2S / PCM,Ch 2: 0x00049E
0.001048937500000,I2S / PCM,Ch 1: 0x000201
0.001059375000000,I2S / PCM,Ch 2: 0x0005BD
0.001069812500000,I2S / PCM,Ch 1: 0xFFFC02
0.001080218750000,I2S / PCM,Ch 2: 0xFFFD26
0.001090656250000,I2S / PCM,Ch 1: 0x0002C0
0.001101062500000,I2S / PCM,Ch 2: 0x0003F3
0.001111500000000,I2S / PCM,Ch 1: 0x00048C
0.001121906250000,I2S / PCM,Ch 2: 0x00050A
0.001132343750000,I2S / PCM,Ch 1: 0xFFFE15
0.001142750000000,I2S / PCM,Ch 2: 0x000028
0.001153187500000,I2S / PCM,Ch 1: 0xFFFCF7
0.001163593750000,I2S / PCM,Ch 2: 0xFFFA7A
0.001174031250000,I2S / PCM,Ch 1: 0x000158
0.001184437500000,I2S / PCM,Ch 2: 0x0000A9
0.001194875000000,I2S / PCM,Ch 1: 0xFFF7BB
0.001205281250000,I2S / PCM,Ch 2: 0xFFF8B0
0.001215718750000,I2S / PCM,Ch 1: 0x0004BD
0.001226125000000,I2S / PCM,Ch 2: 0x0005BD
0.001236562500000,I2S / PCM,Ch 1: 0xFFFC02
0.001247000000000,I2S / PCM,Ch 2: 0xFFFD26
0.001257406250000,I2S / PCM,Ch 1: 0x0002C0
0.001267843750000,I2S / PCM,Ch 2: 0x0003F3
0.001278250000000,I2S / PCM,Ch 1: 0xFFFF84
0.001288687500000,I2S / PCM,Ch 2: 0x0000F0
0.001299093750000,I2S / PCM,Ch 1: 0xFFFCB1
0.001309531250000,I2S / PCM,Ch 2: 0xFFFBE2
0.001319937500000,I2S / PCM,Ch 1: 0x000200
0.001330375000000,I2S / PCM,Ch 2: 0x000117
0.001340781250000,I2S / PCM,Ch 1: 0x00014D
0.001351218750000,I2S / PCM,Ch 2: 0x000388
0.001361625000000,I2S / PCM,Ch 1: 0xFFFFA0
0.001372062500000,I2S / PCM,Ch 2: 0x0000A0
0.001382500000000,I2S / PCM,Ch 1: 0xFFFC92
0.001392906250000,I2S / PCM,Ch 2: 0xFFFDCF
0.001403343750000,I2S / PCM,Ch 1: 0x0000BE
0.001413750000000,I2S / PCM,Ch 2: 0x000152
0.001424187500000,I2S / PCM,Ch 1: 0x00015E
0.001434593750000,I2S / PCM,Ch 2: 0x0002E2
0.001445031250000,I2S / PCM,Ch 1: 0xFFFF84
0.001455437500000,I2S / PCM,Ch 2: 0x0000F0
0.001465875000000,I2S / PCM,Ch 1: 0xFFFCB1
0.001476281250000,I2S / PCM,Ch 2: 0x000501
0.001486718750000,I2S / PCM,Ch 1: 0xFFFCDD
0.001497125000000,I2S / PCM,Ch 2: 0xFFFD1E
0.001507562500000,I2S / PCM,Ch 1: 0x0001FB
0.001518000000000,I2S / PCM,Ch 2: 0x000382
0.001528406250000,I2S / PCM,Ch 1: 0x0000B1
0.001538843750000,I2S / PCM,Ch 2: 0x000138
0.001549250000000,I2S / PCM,Ch 1: 0xFFFF8B
0.001559687500000,I2S / PCM,Ch 2: 0xFFFDCF
0.001570093750000,I2S / PCM,Ch 1: 0x0000BE
0.001580531250000,I2S / PCM,Ch 2: 0x000152
0.001590937500000,I2S / PCM,Ch 1: 0x00015E
0.001601375000000,I2S / PCM,Ch 2: 0x0002E2
0.001611781250000,I2S / PCM,Ch 1: 0xFFFF3E
0.001622218750000,I2S / PCM,Ch 2: 0x000050
0.001632625000000,I2S / PCM,Ch 1: 0xFFFFBE
0.001643062500000,I2S / PCM,Ch 2: 0xFFFF83
0.001653468750000,I2S / PCM,Ch 1: 0xFFFDCD
